trace_idx,while_counter,1,x,y,q,r,a,b
1,1,1,1,1,0,1,0,0
2,1,1,1,1,0,1,1,1
1,2,1,1,1,1,0,1,1
1,1,1,1,2,0,1,0,0
1,1,1,1,3,0,1,0,0
1,1,1,1,4,0,1,0,0
1,1,1,1,5,0,1,0,0
1,1,1,1,6,0,1,0,0
1,1,1,1,7,0,1,0,0
1,1,1,1,8,0,1,0,0
1,1,1,1,9,0,1,0,0
1,1,1,2,1,0,2,0,0
2,1,1,2,1,0,2,1,1
2,2,1,2,1,0,2,2,2
1,2,1,2,1,2,0,2,2
1,1,1,2,2,0,2,0,0
2,1,1,2,2,0,2,1,2
1,2,1,2,2,1,0,1,2
1,1,1,2,3,0,2,0,0
1,1,1,2,4,0,2,0,0
1,1,1,2,5,0,2,0,0
1,1,1,2,6,0,2,0,0
1,1,1,2,7,0,2,0,0
1,1,1,2,8,0,2,0,0
1,1,1,2,9,0,2,0,0
1,1,1,3,1,0,3,0,0
2,1,1,3,1,0,3,1,1
2,2,1,3,1,0,3,2,2
1,2,1,3,1,2,1,2,2
2,1,1,3,1,2,1,1,1
1,3,1,3,1,3,0,1,1
1,1,1,3,2,0,3,0,0
2,1,1,3,2,0,3,1,2
1,2,1,3,2,1,1,1,2
1,1,1,3,3,0,3,0,0
2,1,1,3,3,0,3,1,3
1,2,1,3,3,1,0,1,3
1,1,1,3,4,0,3,0,0
1,1,1,3,5,0,3,0,0
1,1,1,3,6,0,3,0,0
1,1,1,3,7,0,3,0,0
1,1,1,3,8,0,3,0,0
1,1,1,3,9,0,3,0,0
1,1,1,4,1,0,4,0,0
2,1,1,4,1,0,4,1,1
2,2,1,4,1,0,4,2,2
2,3,1,4,1,0,4,4,4
1,2,1,4,1,4,0,4,4
1,1,1,4,2,0,4,0,0
2,1,1,4,2,0,4,1,2
2,2,1,4,2,0,4,2,4
1,2,1,4,2,2,0,2,4
1,1,1,4,3,0,4,0,0
2,1,1,4,3,0,4,1,3
1,2,1,4,3,1,1,1,3
1,1,1,4,4,0,4,0,0
2,1,1,4,4,0,4,1,4
1,2,1,4,4,1,0,1,4
1,1,1,4,5,0,4,0,0
1,1,1,4,6,0,4,0,0
1,1,1,4,7,0,4,0,0
1,1,1,4,8,0,4,0,0
1,1,1,4,9,0,4,0,0
1,1,1,5,1,0,5,0,0
2,1,1,5,1,0,5,1,1
2,2,1,5,1,0,5,2,2
2,3,1,5,1,0,5,4,4
1,2,1,5,1,4,1,4,4
2,1,1,5,1,4,1,1,1
1,3,1,5,1,5,0,1,1
1,1,1,5,2,0,5,0,0
2,1,1,5,2,0,5,1,2
2,2,1,5,2,0,5,2,4
1,2,1,5,2,2,1,2,4
1,1,1,5,3,0,5,0,0
2,1,1,5,3,0,5,1,3
1,2,1,5,3,1,2,1,3
1,1,1,5,4,0,5,0,0
2,1,1,5,4,0,5,1,4
1,2,1,5,4,1,1,1,4
1,1,1,5,5,0,5,0,0
2,1,1,5,5,0,5,1,5
1,2,1,5,5,1,0,1,5
1,1,1,5,6,0,5,0,0
1,1,1,5,7,0,5,0,0
1,1,1,5,8,0,5,0,0
1,1,1,5,9,0,5,0,0
1,1,1,6,1,0,6,0,0
2,1,1,6,1,0,6,1,1
2,2,1,6,1,0,6,2,2
2,3,1,6,1,0,6,4,4
1,2,1,6,1,4,2,4,4
2,1,1,6,1,4,2,1,1
2,2,1,6,1,4,2,2,2
1,3,1,6,1,6,0,2,2
1,1,1,6,2,0,6,0,0
2,1,1,6,2,0,6,1,2
2,2,1,6,2,0,6,2,4
1,2,1,6,2,2,2,2,4
2,1,1,6,2,2,2,1,2
1,3,1,6,2,3,0,1,2
1,1,1,6,3,0,6,0,0
2,1,1,6,3,0,6,1,3
